"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,64.200000000000003,3.6688385009765625,
,,,,,,64.299999999999997,3.7506027221679688,
,,,,,,64.400000000000006,3.8349151611328125,
,,,,,,64.5,3.903900146484375,
,,,,,,64.599999999999994,3.9550018310546875,
,,,,,,64.700000000000003,3.9907684326171875,
,,,,,,64.799999999999997,4.0265426635742188,
,,,,,,64.900000000000006,4.069976806640625,
,,,,,,65,4.0827484130859375,
,,,,,,65.099999999999994,4.0290908813476562,
,,,,,,65.200000000000003,3.9243392944335938,
,,,,,,65.299999999999997,3.8144760131835938,
,,,,,,65.400000000000006,3.7046127319335938,
,,,,,,65.5,3.5870819091796875,
,,,,,,65.599999999999994,3.4695510864257812,
,,,,,,65.700000000000003,3.3622360229492188,
,,,,,,65.799999999999997,3.2804794311523438,
,,,,,,65.900000000000006,3.2242660522460938,
,,,,,,66,3.168060302734375,
,,,,,,66.099999999999994,3.1144027709960938,
,,,,,,66.200000000000003,3.0811920166015625,
,,,,,,66.299999999999997,3.037750244140625,
,,,,,,66.400000000000006,2.9713211059570312,
,,,,,,66.5,2.9125595092773438,
,,,,,,66.599999999999994,2.8844528198242188,
,,,,,,66.700000000000003,2.874237060546875,
,,,,,,66.799999999999997,2.8665695190429688,
,,,,,,66.900000000000006,2.8716812133789062,
,,,,,,67,2.8870086669921875,
,,,,,,67.099999999999994,2.9023361206054688,
,,,,,,67.200000000000003,2.9125595092773438,
,,,,,,67.299999999999997,2.8946762084960938,
,,,,,,67.400000000000006,2.88189697265625,
,,,,,,67.5,2.9023361206054688,
,,,,,,67.599999999999994,2.9253311157226562,
,,,,,,67.700000000000003,2.9381103515625,
,,,,,,67.799999999999997,2.945770263671875,
